"1050℃+150MPa蠕变条件/时间","1150℃+100MPa蠕变条件/时间","700MPa不均匀变形的蠕变测试/温度","700MPa晶界滑移的蠕变测试/温度","_id","Al","Al2O3涂层/Al2O3含量","Al2O3涂层/Al含量","Al2O3涂层/Fe含量","Al2O3涂层/NH4Cl含量","Al2O3涂层/NH5Cl含量","Al2O3涂层/加热时间","Al2O3涂层/温度","Al2O4涂层/加热时间","B","C","Co","Cr","Hf","Ir","Mo","Nb","Ni","Re","Ru","Ta","Ti","W","Zr","力学性能/蠕变应变","固溶处理/时间","固溶处理/温度","固溶处理油淬/时间","固溶处理油淬/温度","固溶处理（炉冷）/时间","固溶处理（炉冷）/温度","圆盘型显微结构724Mpa且677℃下蠕变测试/时间","均匀化处理/时间","均匀化处理/温度","备注","孔型显微结构724Mpa且677℃下蠕变测试/时间","拉伸/时间","拉伸蠕变测试/测试压力","拉伸蠕变测试/测试温度","拉伸蠕变测试/蠕变时间","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","施加恒定应力/应力","施加恒定温度/温度","时效处理/时间","时效处理/温度","时效处理/炉冷","时效处理/空冷","时效处理空冷/时间","时效处理空冷/温度","材料牌号","炉冷/温度","热挤压/热挤压温度","热轧/热轧时间","热轧/热轧温度","直径/坯料直径","第一次轧制/温度","第二次轧制/温度","蠕变变形测试/时间","蠕变变形测试/测试温度","蠕变变形测试/蠕变应力","蠕变实验/平均压力","蠕变实验/平均应力","蠕变实验/时间","蠕变实验/晶向","蠕变实验/温度","蠕变断裂/加载应力","蠕变断裂/时间","蠕变断裂实验/温度","蠕变断裂测试/温度","蠕变测试/压力","蠕变测试/应力","蠕变测试/时间","蠕变测试/晶格取向","蠕变测试/温度","蠕变测试/蠕变应力","蠕变测试/蠕变时间","蠕变测试/蠕变温度","蠕变测试/试样厚度","退火/退火时间","退火/退火温度","重量/铸锭重量","镀铝/镀铝"
,,,,"ObjectId(""5b4d4626e6b1a819a85d98af"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.01E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"648.054919908467h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d462ce6b1a819a85d98b1"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"8.50E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"626.086956521739h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4630e6b1a819a85d98b3"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"8.00E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"618.764302059497h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4635e6b1a819a85d98b5"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.15E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"662.700228832952h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d463ae6b1a819a85d98b7"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"8.99E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"631.578947368421h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d463fe6b1a819a85d98b9"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.27E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"675.514874141876h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4644e6b1a819a85d98bb"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.06E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"651.716247139588h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4649e6b1a819a85d98bd"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.46E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"690.160183066362h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d464ee6b1a819a85d98bf"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.25E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"677.345537757437h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4653e6b1a819a85d98c1"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"9.61E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"638.901601830664h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4658e6b1a819a85d98c3"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.53E+1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"699.313501144165h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4662e6b1a819a85d98c5"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"2.08E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"443.020594965675h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4667e6b1a819a85d98c7"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"6.69E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"594.965675057208h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d466be6b1a819a85d98c9"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"7.00E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"598.62700228833h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4670e6b1a819a85d98cb"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"4.51E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"540.045766590389h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4675e6b1a819a85d98cd"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"3.70E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"518.077803203661h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d467ae6b1a819a85d98cf"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"6.38E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"585.812356979405h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d467fe6b1a819a85d98d1"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"5.82E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"574.828375286041h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4684e6b1a819a85d98d3"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"4.89E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"549.199084668192h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4689e6b1a819a85d98d5"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.77E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"422.883295194508h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d468ee6b1a819a85d98d7"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"7.50E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"607.780320366133h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4694e6b1a819a85d98d9"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"2.33E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"463.157894736842h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d4699e6b1a819a85d98db"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"5.26E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"562.013729977117h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d469de6b1a819a85d98dd"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"2.71E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"479.633867276888h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d46a2e6b1a819a85d98df"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"3.27E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"501.601830663616h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d46a7e6b1a819a85d98e1"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"4.14E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"530.892448512586h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d46b1e6b1a819a85d98e3"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"7.71E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"325.858123569794h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d46b6e6b1a819a85d98e5"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.40E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"397.254004576659h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d46bbe6b1a819a85d98e7"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"1.15E+0%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"371.62471395881h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d46c0e6b1a819a85d98e9"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"3.26E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"201.372997711671h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d46c5e6b1a819a85d98eb"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"2.59E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"131.807780320366h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d46cae6b1a819a85d98ed"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"5.81E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"289.244851258581h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d46cfe6b1a819a85d98ef"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"3.25E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"184.897025171625h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d46d4e6b1a819a85d98f1"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"2.60E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"150.114416475973h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d46d9e6b1a819a85d98f3"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"4.53E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"239.816933638444h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d46dee6b1a819a85d98f5"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"7.07E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"305.720823798627h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d46e3e6b1a819a85d98f7"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"5.18E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"274.599542334096h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d46e8e6b1a819a85d98f9"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"3.89E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"214.187643020595h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4d46ece6b1a819a85d98fb"")","6.1",,,,,,,,,,,"12wt.%","2.9","0.1",,"2.0",,"balance","5.0",,"6.1","-","6.0",,"5.17E-1%","2h","1300℃",,,"8h","1320℃",,,,"",,,,,,"Latief F, Kakehi K, Murakami H, et al. Influence of Crystallographic Orientation on Creep Behavior of Aluminized Ni-base Single Crystal Superalloys[C]// Superalloys. 2012:311-320.","10.11961/mater0203.MGI.20171221.ds.0028","尹海清","摘录","杨国强","2018-01-08",,,"20h","870℃","",,,,"TMS-75",,,,,,,,,,,"392Mpa",,"256.29290617849h","{100}<001>","900℃",,,,,,,,,,,,,,,,,
