"1%蠕变应变的时间/时间","_id","Al","B","C","Co","Cr","Hf","La","Mn","Mo","Nb","Ni","Re","Ru","Si","Ta","Ti","W","Zr","力学性能/蠕变极限","固溶热处理/加热时间","固溶热处理/加热温度","固溶热处理/升温速度","固溶热处理/炉冷时间","固溶热处理/炉冷温度","固溶热处理/第一次保温时间","固溶热处理/第一次保温温度","固溶热处理/第三次保温时间","固溶热处理/第三次保温温度","固溶热处理/第二次保温时间","固溶热处理/第二次保温温度","固溶热处理/第四次保温时间","固溶热处理/第四次保温温度","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/低温时效温度","时效/高温时效温度","材料牌号","第1步热处理/时间","第1步热处理/温度","第2步热处理/时间","第2步热处理/温度","第2步热处理/空冷","蠕变测试/Larson-Miller参数","蠕变测试/变形量","蠕变测试/时间","蠕变测试/测试温度","蠕变测试/温度","高温低应力蠕变极限测试/Larson-Miller参数"
,"ObjectId(""5b4d09f1e6b1a819a85d81d9"")","5.8",,,"8.0","4.0","0.1",,,"2.2",,"62.5wt.%","4.7",,,"7.5",,"5.2",,"442.24Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D",,,,,,,,,,,"26.5688100%"
,"ObjectId(""5b4d09f6e6b1a819a85d81db"")","5.8",,,"8.0","4.0","0.1",,,"2.2",,"62.5wt.%","4.7",,,"7.5",,"5.2",,"386.314Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D",,,,,,,,,,,"26.9656100%"
,"ObjectId(""5b4d09fbe6b1a819a85d81dd"")","5.8",,,"8.0","4.0","0.1",,,"2.2",,"62.5wt.%","4.7",,,"7.5",,"5.2",,"206.472Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D",,,,,,,,,,,"28.5265100%"
,"ObjectId(""5b4d0a04e6b1a819a85d81e1"")","5.8",,,"8.0","4.0","0.1",,,"2.2",,"62.5wt.%","4.7",,,"7.5",,"5.2",,"309.881Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D",,,,,,,,,,,"27.5079100%"
,"ObjectId(""5b4d0a09e6b1a819a85d81e3"")","5.8",,,"8.0","4.0","0.1",,,"2.2",,"62.5wt.%","4.7",,,"7.5",,"5.2",,"226.032Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D",,,,,,,,,,,"28.3148100%"
,"ObjectId(""5b4d0a0ee6b1a819a85d81e5"")","5.8",,,"8.0","4.0","0.1",,,"2.2",,"62.5wt.%","4.7",,,"7.5",,"5.2",,"409.615Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D",,,,,,,,,,,"26.7937100%"
,"ObjectId(""5b4d0a13e6b1a819a85d81e7"")","5.8",,,"8.0","4.0","0.1",,,"2.2",,"62.5wt.%","4.7",,,"7.5",,"5.2",,"265.153Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D",,,,,,,,,,,"27.8915100%"
,"ObjectId(""5b4d0a18e6b1a819a85d81e9"")","5.8",,,"8.0","4.0","0.1",,,"2.2",,"62.5wt.%","4.7",,,"7.5",,"5.2",,"244.662Mpa",,,,,,,,,,,,,,"","Tin S, Zhang L, Hobbs R A, et al. Linking the Properties, Processing and Chemistry of Advanced Single Crystal Ni-Base Superalloys[C]// Superalloys. 2008:81-90.","10.11961/mater0203.MGI.20171221.ds.0052","尹海清","摘录","史政涛","2018-01-09",,,"SRR300D",,,,,,,,,,,"28.1164100%"
,"ObjectId(""5b4d8b39e6b1a815d464f2d0"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","157.34763793725Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"3445h",,"870℃",
,"ObjectId(""5b4d8b48e6b1a815d464f2d6"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","283.73602596466Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"127h",,"870℃",
,"ObjectId(""5b4d8b4de6b1a815d464f2d8"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","284.00Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"1690h",,"816℃",
,"ObjectId(""5b4d8b52e6b1a815d464f2da"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","84.700685178507Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"4737h",,"927℃",
,"ObjectId(""5b4d8b57e6b1a815d464f2dc"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","246.00Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"3800h",,"816℃",
,"ObjectId(""5b4d8b66e6b1a815d464f2e2"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","179.85034258925Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"65h",,"927℃",
,"ObjectId(""5b4d8b6be6b1a815d464f2e4"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","124.15254237288Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"895h",,"927℃",
,"ObjectId(""5b4d8b6fe6b1a815d464f2e6"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","186.78326721962Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"80h",,"927℃",
,"ObjectId(""5b4d8b79e6b1a815d464f2ea"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","190.48864046159Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"1231h",,"870℃",
,"ObjectId(""5b4d8b88e6b1a815d464f2ee"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","442.553Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"643h",,"760℃",
,"ObjectId(""5b4d8b8de6b1a815d464f2f0"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","336.00Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"474h",,"816℃",
,"ObjectId(""5b4d8b92e6b1a815d464f2f2"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","280.00Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"1500h",,"816℃",
,"ObjectId(""5b4d8b99e6b1a815d464f2f4"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","378.00Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"97h",,"816℃",
,"ObjectId(""5b4d8b9ee6b1a815d464f2f6"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","544.54561Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"96h",,"760℃",
,"ObjectId(""5b4d8ba3e6b1a815d464f2f8"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","650.29Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"203h",,"700℃",
,"ObjectId(""5b4d8bade6b1a815d464f2fc"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","388.00Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"70h",,"816℃",
,"ObjectId(""5b4d8bb2e6b1a815d464f2fe"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","384.00Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"123h",,"816℃",
,"ObjectId(""5b4d8bb7e6b1a815d464f300"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","551.666Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"1444h",,"700℃",
,"ObjectId(""5b4d8bc5e6b1a815d464f306"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","604.1Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"424h",,"700℃",
,"ObjectId(""5b4d8bcae6b1a815d464f308"")","1.9","0.01","0.15","19","22.5wt.%",,,,,"1","balance",,,,"1.4","3.7","2","0.1","549.305Mpa",,,,,,,,,,,,,,"","S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,"IN-939","4h","1160℃","6h","1000℃","",,,"62h",,"760℃",
,"ObjectId(""5b4d93e6e6b1a815d464f61a"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"14.0071Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"24.7769100%","1%",,,"1800℉",
,"ObjectId(""5b4d9403e6b1a815d464f626"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"35.4114Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"23.5868100%","1%",,,"1800℉",
,"ObjectId(""5b4d940ce6b1a815d464f62a"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"14.2925Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"25.1074100%","1%",,,"1800℉",
,"ObjectId(""5b4d9411e6b1a815d464f62c"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"21.2097Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"24.6446100%","1%",,,"1800℉",
,"ObjectId(""5b4d9416e6b1a815d464f62e"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"21.208Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"24.5785100%","1%",,,"1800℉",
,"ObjectId(""5b4d9420e6b1a815d464f632"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"14.2914Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"25.0413100%","1%",,,"1800℉",
,"ObjectId(""5b4d942fe6b1a815d464f636"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"43.1156Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.9421100%","1%",,,"1700℉",
,"ObjectId(""5b4d9434e6b1a815d464f638"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"72.7119Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.0165100%","1%",,,"1600℉",
,"ObjectId(""5b4d9439e6b1a815d464f63a"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"42.6785Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.6942100%","1%",,,"1700℉",
,"ObjectId(""5b4d943de6b1a815d464f63c"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"52.5442Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"23.0413100%","1%",,,"1600℉",
,"ObjectId(""5b4d9442e6b1a815d464f63e"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"35.7536Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"23.3719100%","1%",,,"1800℉",
,"ObjectId(""5b4d9447e6b1a815d464f640"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"42.6846Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.8099100%","1%",,,"1700℉",
,"ObjectId(""5b4d944ce6b1a815d464f642"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"53.558Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.5124100%","1%",,,"1600℉",
,"ObjectId(""5b4d9451e6b1a815d464f644"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"72.6897Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"21.7686100%","1%",,,"1600℉",
,"ObjectId(""5b4d9456e6b1a815d464f646"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"36.1057Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"23.3058100%","1%",,,"1800℉",
,"ObjectId(""5b4d945ae6b1a815d464f648"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"53.0595Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.9421100%","1%",,,"1600℉",
,"ObjectId(""5b4d945fe6b1a815d464f64a"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"42.7274Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"23.6198100%","1%",,,"1700℉",
,"ObjectId(""5b4d9464e6b1a815d464f64c"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"42.3003Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"23.4876100%","1%",,,"1700℉",
,"ObjectId(""5b4d9469e6b1a815d464f64e"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"42.2511Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"22.5455100%","1%",,,"1700℉",
,"ObjectId(""5b4d946ee6b1a815d464f650"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"42.703Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"23.157100%","1%",,,"1700℉",
,"ObjectId(""5b4d9473e6b1a815d464f652"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"72.6986Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"21.8678100%","1%",,,"1600℉",
,"ObjectId(""5b4d947de6b1a815d464f654"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"22.5484Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"24.0373100%","0.5%",,,"1800℉",
,"ObjectId(""5b4d9482e6b1a815d464f656"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"277.519Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"18.281100%","1%",,,"1200℉",
,"ObjectId(""5b4d9487e6b1a815d464f658"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"22.9073Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"24.2171100%","0.5%",,,"1800℉",
,"ObjectId(""5b4d948ce6b1a815d464f65a"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"344.543Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"17.405100%","1%",,,"1200℉",
,"ObjectId(""5b4d9490e6b1a815d464f65c"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"423.625Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"16.6777100%","1%",,,"1200℉",
,"ObjectId(""5b4d9495e6b1a815d464f65e"")",,,"0.10","balance","22wt.%",,"0.4","1",,,"22",,,"0.35",,,"14",,"39.1413Mpa",,,,,,,,,,,,,,"","Klarstrom D L. Thermomechanical Processing of Haynes Alloy No. 188 Sheet to Improve Creep Strength[J]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0005","尹海清","摘录","邓正华","2018-01-08",,,"HAYNES-188",,,,,,"24.1232100%","0.5%",,,"1800℉",
