"_id","Al","B","C","Co","Cr","Mn","Mo","Nb","Ni","Re","Ru","Si","Ta","Ti","W","Y","Zr","力学性能/持久寿命","固溶/时间","固溶/温度","固溶处理油淬/时间","固溶处理油淬/温度","均匀化处理/时间","均匀化处理/温度","备注","应力破裂测试/力","应力破裂测试/温度","持久测试/应力","持久测试/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效处理/时间","时效处理/温度","时效处理空冷/时间","时效处理空冷/温度","材料牌号","热轧/厚度","热轧/温度","真空热挤/挤压率","真空热挤/温度","第1步热处理/时间","第1步热处理/温度","第2步热处理/时间","第2步热处理/温度","第3步热处理/时间","第3步热处理/温度","第4步热处理/时间","第4步热处理/温度","第一次轧制/温度","第二次轧制/温度","蠕变测试/拉应力","蠕变测试/温度","试样放置于高温/时间","试样放置于高温/温度"
"ObjectId(""5b4d8c5ce6b1a815d464f33e"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","1346h",,,,,,,"","276Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃","24h","900℃",,,,,,,,
"ObjectId(""5b4d8c65e6b1a815d464f342"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","562h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃","24h","900℃",,,,,,,,
"ObjectId(""5b4d8c6fe6b1a815d464f346"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","309h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃","24h","900℃",,,,,,,,
"ObjectId(""5b4d8c7ee6b1a815d464f34a"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","123h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃","24h","900℃",,,,,,,,
"ObjectId(""5b4d8c88e6b1a815d464f34e"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","1693h",,,,,,,"","276Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃",,,"16h","700℃",,,,,,
"ObjectId(""5b4d8c9ee6b1a815d464f356"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","103h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃","24h","900℃",,,,,,,,
"ObjectId(""5b4d8ca8e6b1a815d464f35a"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","1874h",,,,,,,"","276Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃",,,"16h","700℃",,,,,,
"ObjectId(""5b4d8ccae6b1a815d464f366"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","123h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃",,,"16h","700℃",,,,,,
"ObjectId(""5b4d8cdee6b1a815d464f36e"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","519h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃",,,"16h","700℃",,,,,,
"ObjectId(""5b4d8ce7e6b1a815d464f372"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","452h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃",,,"16h","700℃",,,,,,
"ObjectId(""5b4d8d05e6b1a815d464f37e"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","172h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃",,,"16h","700℃",,,,,,
"ObjectId(""5b4d8d31e6b1a815d464f38e"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","552h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃",,,"24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8d36e6b1a815d464f390"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","275h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃",,,"24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8d3be6b1a815d464f392"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","472h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃",,,"24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8d4ae6b1a815d464f398"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","1596h",,,,,,,"","276Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃",,,"24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8d57e6b1a815d464f39c"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","218h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃",,,"24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8d7ee6b1a815d464f3aa"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","448h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8d83e6b1a815d464f3ac"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","586h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8d88e6b1a815d464f3ae"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","174h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8d8de6b1a815d464f3b0"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","108h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8da6e6b1a815d464f3ba"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","1899h",,,,,,,"","276Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8dafe6b1a815d464f3be"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","1808h",,,,,,,"","276Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8f91e6b1a815d464f474"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","646h",,,,,,,"","120Mpa","927℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1170℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8fcbe6b1a815d464f48c"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","574h",,,,,,,"","120Mpa","927℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1180℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8fd0e6b1a815d464f48e"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","221h",,,,,,,"",,"927℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1210℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8fdfe6b1a815d464f492"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","212h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8fe3e6b1a815d464f494"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","140h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1180℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8fe8e6b1a815d464f496"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","207h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1120℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8fede6b1a815d464f498"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","172h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1160℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8ff2e6b1a815d464f49a"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","46h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1210℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8ff7e6b1a815d464f49c"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","21h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1090℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d8ffce6b1a815d464f49e"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","444h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1180℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d9001e6b1a815d464f4a0"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","328h",,,,,,,"","120Mpa","927℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1090℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d9006e6b1a815d464f4a2"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","753h",,,,,,,"","120Mpa","927℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1160℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d900be6b1a815d464f4a4"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","623h",,,,,,,"","120Mpa","927℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1120℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d9010e6b1a815d464f4a6"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","276h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1210℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d9015e6b1a815d464f4a8"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","629h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"1000h","1170℃","900h","6℃","700h","24℃","4h","16℃",,,,,,
"ObjectId(""5b4d9019e6b1a815d464f4aa"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","902h",,,,,,,"","120Mpa","927℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d9021e6b1a815d464f4ac"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","635h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1160℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d9026e6b1a815d464f4ae"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","164h",,,,,,,"","379Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1170℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d9030e6b1a815d464f4b0"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","570h",,,,,,,"","276Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1090℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d9035e6b1a815d464f4b2"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","148h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1090℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d903fe6b1a815d464f4b6"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","1111h",,,,,,,"","276Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1120℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d9052e6b1a815d464f4be"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","1832h",,,,,,,"","276Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1180℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d905ce6b1a815d464f4c2"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","1726h",,,,,,,"","276Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1160℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d9065e6b1a815d464f4c6"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","2057h",,,,,,,"","276Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d906ae6b1a815d464f4c8"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","690h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1150℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d906fe6b1a815d464f4ca"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","791h",,,,,,,"","276Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1210℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d9074e6b1a815d464f4cc"")","1.9","0.01","0.15","19","22.5wt.%",,,"1","balance",,,,"1.4","3.7","2",,"0.1","524h",,,,,,,"","330Mpa","816℃",,,"S.W.K. Shaw.RESPONSE OF IN-939 TO PROCESS VARIATIONSJ]. Superalloys, 1980.","10.11961/mater0203.MGI.20171221.ds.0009","尹海清","摘录","邓正华","2018-01-08",,,,,"IN-939",,,,,"4h","1120℃","6h","1000℃","24h","900℃","16h","700℃",,,,,,
"ObjectId(""5b4d9a66e6b1a815d464f896"")","1","0.0005","0.05wt.%","0","20","0.5","5",,"balance",,,"0.1","2",,"5","0.05","0.05","45.6h","1h","1260℃",,,,,"",,,"117Mpa","870℃","Whelan E P. Cobalt-Free Nickel-Base Wrought Superalloys[C]// Superalloys. 1980:53-62.","10.11961/mater0203.MGI.20171221.ds.0002","尹海清","摘录","邓正华","2018-01-08",,,,,"NiCMnSiCrCoMoWTaAlYBZr","1.5mm","1205℃","25%","1150℃",,,,,,,,,,,,,,
"ObjectId(""5b4d9a70e6b1a815d464f89a"")","1","0.0005","0.08wt.%","0","20","0.5","9",,"balance",,,"0.1","3",,"9","0.05","0.05","55.1h","4h","1230℃",,,,,"",,,"21Mpa","1095℃","Whelan E P. Cobalt-Free Nickel-Base Wrought Superalloys[C]// Superalloys. 1980:53-62.","10.11961/mater0203.MGI.20171221.ds.0002","尹海清","摘录","邓正华","2018-01-08",,,,,"NiCMnSiCrCoMoWTaAlYBZr","1.5mm","1205℃","25%","1150℃",,,,,,,,,,,,,,
"ObjectId(""5b4d9a7ee6b1a815d464f8a0"")","1","0.0005","0.05wt.%","0","20","0.5","5",,"balance",,,"0.1","2",,"5","0.05","0.05","41.7h","1h","1260℃",,,,,"",,,"21Mpa","1095℃","Whelan E P. Cobalt-Free Nickel-Base Wrought Superalloys[C]// Superalloys. 1980:53-62.","10.11961/mater0203.MGI.20171221.ds.0002","尹海清","摘录","邓正华","2018-01-08",,,,,"NiCMnSiCrCoMoWTaAlYBZr","1.5mm","1205℃","25%","1150℃",,,,,,,,,,,,,,
"ObjectId(""5b4d9a97e6b1a815d464f8aa"")","1","0.0005","0.05wt.%","0","20","0.5","5",,"balance",,,"0.1","2",,"5","0.05","0.05","9.5h","1h","1260℃",,,,,"",,,"48Mpa","980℃","Whelan E P. Cobalt-Free Nickel-Base Wrought Superalloys[C]// Superalloys. 1980:53-62.","10.11961/mater0203.MGI.20171221.ds.0002","尹海清","摘录","邓正华","2018-01-08",,,,,"NiCMnSiCrCoMoWTaAlYBZr","1.5mm","1205℃","25%","1150℃",,,,,,,,,,,,,,
